,fields used by students to decide on the labels,,,,,,dropdown list definitions,
link to the original record,collectionCode,habitat,higherGeography,locality,higherClassification,student label:SampledFeature ,Steve label,Steve: what other metadata fields may also be useful?
http://n2t.net/ark:/65665/3006b7870-35f1-4f90-b0b6-8dbbea802f47,Invertebrate Zoology,,Spain,,"Animalia, Annelida, Oligochaeta, Lumbricidae",,Subaerial surface environment,earth worm
http://n2t.net/ark:/65665/300393138-5909-4642-8fc5-4480eae9c57a,Invertebrate Zoology,,North Pacific Ocean,San Clemente Seep,"Animalia, Annelida, Polychaeta",Marine water body,Marine water body bottom,
http://n2t.net/ark:/65665/300e6752e-7d55-44df-9a7a-04b29a296a11,Invertebrate Zoology,,"South Pacific Ocean, French Polynesia, Society Islands, Moorea","Society Islands, Moorea, North backreef","Animalia, Annelida, Polychaeta",,Marine water body bottom,
http://n2t.net/ark:/65665/30007a443-7a0a-49a9-9c54-cae1342160a6,Invertebrate Zoology,,"South Pacific Ocean, French Polynesia, Society Islands, Moorea","Society Islands, Moorea, In front of Hilton","Animalia, Annelida, Polychaeta, Errantia, Amphinomida, Amphinomidae",Marine water body,Marine water body bottom,Collection Method: Snad and rubble digging and fanning'  (note typo in source data -- snad is I assume 'sand').  implies sampling from bottom.  Polychaeta can live anywhere in the water column.
http://n2t.net/ark:/65665/3011dcb87-4c57-469d-a74d-1920027fa603,Invertebrate Zoology,,"South Pacific Ocean, French Polynesia, Society Islands, Raiatea",Thallus 12,"Animalia, Annelida, Polychaeta, Errantia, Amphinomida, Amphinomidae",,Marine water body bottom,
http://n2t.net/ark:/65665/3013aa163-1dc6-4d68-8f3d-7063960d38b7,Invertebrate Zoology,,"South Pacific Ocean, French Polynesia, Society Islands, Moorea",,"Animalia, Annelida, Polychaeta, Errantia, Amphinomida, Amphinomidae",,Marine water body bottom,
http://n2t.net/ark:/65665/30018b717-3e6f-4397-9fdf-0fbbfbd64642,Invertebrate Zoology,,"North Atlantic Ocean, United States, Florida, St. Lucie County",Fort Pierce Inlet,"Animalia, Annelida, Polychaeta, Errantia, Eunicida, Eunicidae",Marine water body,Marine water body bottom,
http://n2t.net/ark:/65665/30059aae8-cb99-4f84-95a3-53fe5efca581,Invertebrate Zoology,,"North Atlantic Ocean, United States, Virginia, Accomack County","Wachapreague Channel, VIMS ESL bulkhead","Animalia, Annelida, Polychaeta, Errantia, Eunicida, Eunicidae",Marine water body,Marine water body bottom,
http://n2t.net/ark:/65665/3007f5b02-bc6c-4a94-a680-5e9e16d73a0f,Invertebrate Zoology,,"South Pacific Ocean, French Polynesia, Society Islands, Moorea","Society Islands, Moorea, north of Vaiare Pass, off Sofitel","Animalia, Annelida, Polychaeta, Errantia, Eunicida, Eunicidae",Marine water body,Marine water body bottom,
http://n2t.net/ark:/65665/30035440a-9f29-47e5-bfb5-6058f07fb469,Invertebrate Zoology,,"North Pacific Ocean, United States, Oregon, Coos County","Charleston, off Coast Guard Station","Animalia, Annelida, Polychaeta, Errantia, Eunicida, Lumbrineridae",Active human occupation site,Marine water body bottom,
http://n2t.net/ark:/65665/300897e8b-956b-4512-8147-c1cf1d2b5fed,Invertebrate Zoology,,"North Pacific Ocean, United States, Washington, Kitsap County","Hood Canal, Central","Animalia, Annelida, Polychaeta, Errantia, Eunicida, Onuphidae, Onuphinae",,Marine water body bottom,
