,$schema,@id,label,sampleidentifier,description,hasContextCategory,hasMaterialCategory,hasSpecimenCategory,informalClassification,keywords,registrant,samplingPurpose,relatedResource,producedBy.@id,producedBy.label,producedBy.description,producedBy.hasFeatureOfInterest,producedBy.responsibility,producedBy.resultTime,producedBy.samplingSite.description,producedBy.samplingSite.label,producedBy.samplingSite.location.elevation,producedBy.samplingSite.location.latitude,producedBy.samplingSite.location.longitude,producedBy.samplingSite.placeName,curation.label,curation.description,curation.accessConstraints,curation.curationLocation,curation.responsibility,uri
0,../../iSamplesSchemaBasic0.2.json,metadata/28722/k2cj89z1b,8376.F73,ark:/28722/k2cj89z1b,early bce/ce: -6500.0 | late bce/ce: -6200.0 | updated: 2020-03-28T09:44:57Z | Has anatomical identification: bone,['Site of past human activities'],['Biogenic non organic material'],['Organism part'],['Mammalia'],"['Turkey', 'Çatalhöyük', 'Mound East', 'Area Bach', 'Unit 8376']",,,[],Not Provided,Çatalhöyük Zooarchaeology,http://opencontext.org/projects/1B426F7C-99EC-4322-4069-E8DBD927CCF1,Not Provided,"['creator: David Orton', 'creator: Nerissa Russell', 'creator: Katheryn Twiss', 'creator: Louise Martin', 'creator: Sheelagh Frame', 'collector: Dusan Boric', 'collector: Nerissa Russell']",2013-02-13T00:00:00Z,,,,37.668196,32.827191,"['Turkey', 'Çatalhöyük', 'Mound East', 'Area Bach', 'Unit 8376']",Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,http://opencontext.org/subjects/F0226517-BF6B-4BB4-5E67-A53DCE2196D1
1,../../iSamplesSchemaBasic0.2.json,metadata/28722/k24x5mn4z,BSV-vert-ribs-1734,ark:/28722/k24x5mn4z,early bce/ce: -600.0 | late bce/ce: -300.0 | updated: 2021-06-24T13:05:03Z | Temporal coverage: Archaic (580 BCE - 482 BCE),['Site of past human activities'],['Biogenic non organic material'],['Organism part'],[],"['Italy', 'Forcello Bagnolo San Vito', 'Sector R18', 'Context 614']",,,[],Not Provided,Animal remains from Forcello,http://opencontext.org/projects/bdc6cb19-e739-404b-8b4f-eeeaae3b8aae,Not Provided,['creator: Angela Trentacoste'],2015-10-21T01:31:32Z,,,,45.08968,10.87539,"['Italy', 'Forcello Bagnolo San Vito', 'Sector R18', 'Context 614']",Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,http://opencontext.org/subjects/56ad8919-7efb-47ef-9851-84752033fb27
2,../../iSamplesSchemaBasic0.2.json,metadata/28722/k29316r81,83.0906,ark:/28722/k29316r81,early bce/ce: -2850.0 | late bce/ce: -2550.0 | updated: 2021-06-26T11:47:28Z,['Site of past human activities'],['Anthropogenic material'],['Artifact'],[],"['Jordan', 'Numayra', 'Unit NE 2-1 (unit Rm 16)', 'Locus 14']",,,[],Not Provided,Early Bronze Age Numayra,http://opencontext.org/projects/685a86a5-ed68-4f92-8c50-d2dfb8f20995,Not Provided,"['creator: Meredith S. Chesson', 'creator: R. Thomas Schaub', 'creator:  Walter E. Rast']",2019-10-05T00:00:00Z,,,,31.13142,35.52837,"['Jordan', 'Numayra', 'Unit NE 2-1 (unit Rm 16)', 'Locus 14']",Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,http://opencontext.org/subjects/fecd90f7-c93b-4b6b-88f7-9d71b303c1a3
3,../../iSamplesSchemaBasic0.2.json,metadata/28722/k2rf5nh2c,Bone 1490,ark:/28722/k2rf5nh2c,early bce/ce: -6500.0 | late bce/ce: -6000.0 | updated: 2020-03-28T14:57:19Z | Has anatomical identification: zygomatic arch,['Site of past human activities'],['Biogenic non organic material'],['Organism part'],['Sheep or goat'],"['Turkey', 'Ulucak', 'Level Vc']",,,[],Not Provided,Zooarchaeology of Neolithic Ulucak,http://opencontext.org/projects/99BDB878-6411-44F8-2D7B-A99384A6CA21,Not Provided,"['creator: Canan Çakırlar', 'collector: Canan Çakırlar']",2013-08-11T00:00:00Z,,,,38.46,27.35,"['Turkey', 'Ulucak', 'Level Vc']",Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,http://opencontext.org/subjects/895D165C-CB43-4F3D-33DB-0C82B08DA96D
4,../../iSamplesSchemaBasic0.2.json,metadata/http://n2t.net/ark:/28722/k2vt1nm8t,Finds Bag 18,http://n2t.net/ark:/28722/k2vt1nm8t,early bce/ce: -1050.0 | late bce/ce: -900.0 | updated: 2017-02-10T21:43:29Z,['Site of past human activities'],['Anthropogenic material'],['Other solid object'],[],"['Turkey', 'Kenan Tepe', 'Area C', 'Trench 4', 'Locus 4084']",,,[],Not Provided,Kenan Tepe,http://opencontext.org/projects/3DE4CD9C-259E-4C14-9B03-8B10454BA66E,Not Provided,"['creator: Bradley Parker', 'creator: Peter Cobb', 'collector: Elif']",2012-03-28T00:00:00Z,,,,37.830874,40.812707,"['Turkey', 'Kenan Tepe', 'Area C', 'Trench 4', 'Locus 4084']",Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,http://opencontext.org/subjects/1FB92E7F-FE45-4758-F7A2-E58B6E588C7F
5,../../iSamplesSchemaBasic0.2.json,metadata/28722/k2sn01c6j,16896.F568,ark:/28722/k2sn01c6j,early bce/ce: -5900.0 | late bce/ce: -5800.0 | updated: 2020-03-28T11:55:17Z | Has anatomical identification: middle phalanx,['Site of past human activities'],['Biogenic non organic material'],['Organism part'],['Sheep or goat'],"['Turkey', 'Çatalhöyük', 'Mound West', 'Trench 5', 'Unit 16896']",,,[],Not Provided,Çatalhöyük Zooarchaeology,http://opencontext.org/projects/1B426F7C-99EC-4322-4069-E8DBD927CCF1,Not Provided,"['creator: David Orton', 'creator: Nerissa Russell', 'creator: Katheryn Twiss', 'creator: Louise Martin', 'creator: Sheelagh Frame', 'collector: Nerissa Russell', 'collector: David Orton']",2013-08-16T00:00:00Z,,,,37.666389,32.8225,"['Turkey', 'Çatalhöyük', 'Mound West', 'Trench 5', 'Unit 16896']",Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,http://opencontext.org/subjects/3CF87AD8-E458-48A8-1161-3891556FAAE7
6,../../iSamplesSchemaBasic0.2.json,metadata/28722/k2tt4ww08,Fish F14282,ark:/28722/k2tt4ww08,early bce/ce: 950.0 | late bce/ce: 1400.0 | updated: 2021-06-23T06:26:23Z | Has anatomical identification: preopercle,['Site of past human activities'],['Biogenic non organic material'],['Organism part'],['Enophrys bison'],"['United States', 'Washington', 'Clallam County', 'Čḯxwicən', 'Area A1', 'Unit 9']",,,[],Not Provided,The Čḯxʷicən Fishbone Project,http://opencontext.org/projects/fde9a92e-9748-47a5-a8e3-7f95c486e1a0,Not Provided,"['creator: Virginia L Butler', 'creator: Kristine M Bovy', 'creator: Sarah K Campbell', 'creator: Michael A Etnier', 'creator: Sarah L Sterling', 'collector: Virginia L Butler', 'collector: Anthony R Hofkamp', 'collector: Kathyrn A Mohlenhoff', 'collector: Reno Nims', 'collector: Patrick Rennaker', 'collector: J Shoshana Rosenberg', 'collector: Laura M Syvertston']",2020-12-13T23:27:30Z,,,,48.13149,-123.46283,"['United States', 'Washington', 'Clallam County', 'Čḯxwicən', 'Area A1', 'Unit 9']",Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,http://opencontext.org/subjects/e1fd94c5-c794-4a54-80ad-3955eefca975
7,../../iSamplesSchemaBasic0.2.json,metadata/28722/k2kp7xv8p,1140.F36,ark:/28722/k2kp7xv8p,early bce/ce: -6500.0 | late bce/ce: -6200.0 | updated: 2020-03-28T07:12:04Z | Has anatomical identification: skull,['Site of past human activities'],['Biogenic non organic material'],['Organism part'],['Mammalia'],"['Turkey', 'Çatalhöyük', 'Mound East', 'Area North', 'Unit 1140']",,,[],Not Provided,Çatalhöyük Zooarchaeology,http://opencontext.org/projects/1B426F7C-99EC-4322-4069-E8DBD927CCF1,Not Provided,"['creator: David Orton', 'creator: Nerissa Russell', 'creator: Katheryn Twiss', 'creator: Louise Martin', 'creator: Sheelagh Frame', 'collector: Nerissa Russell']",2013-02-13T00:00:00Z,,,,37.668196,32.827191,"['Turkey', 'Çatalhöyük', 'Mound East', 'Area North', 'Unit 1140']",Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,http://opencontext.org/subjects/89130CE5-3264-4A17-4A3B-0BD92B373F5E
8,../../iSamplesSchemaBasic0.2.json,metadata/http://n2t.net/ark:/28722/k2df6t28s,SP85028 (75),http://n2t.net/ark:/28722/k2df6t28s,early bce/ce: -200.0 | late bce/ce: 360.0 | updated: 2017-02-11T06:19:02Z,['Site of past human activities'],['Anthropogenic material'],['Artifact'],[],"['Jordan', 'Petra Great Temple', 'Upper Temenos', 'Special Project 85', 'Locus 3', 'Seq. SP85028']",,,[],Not Provided,Petra Great Temple Excavations,http://opencontext.org/projects/A5DDBEA2-B3C8-43F9-8151-33343CBDC857,Not Provided,['creator: Martha Sharp Joukowsky'],2007-11-11T00:00:00Z,,,,30.3287,35.4421,"['Jordan', 'Petra Great Temple', 'Upper Temenos', 'Special Project 85', 'Locus 3', 'Seq. SP85028']",Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,http://opencontext.org/subjects/FD88E7EB-F987-4CE1-4532-181CCA1BED15
9,../../iSamplesSchemaBasic0.2.json,metadata/28722/k25h7v01t,BSV-vert-ribs-1858,ark:/28722/k25h7v01t,early bce/ce: -600.0 | late bce/ce: -300.0 | updated: 2021-06-24T13:03:04Z | Temporal coverage: Archaic (580 BCE - 482 BCE),['Site of past human activities'],['Biogenic non organic material'],['Organism part'],[],"['Italy', 'Forcello Bagnolo San Vito', 'Sector [Blank]', 'Context 288']",,,[],Not Provided,Animal remains from Forcello,http://opencontext.org/projects/bdc6cb19-e739-404b-8b4f-eeeaae3b8aae,Not Provided,['creator: Angela Trentacoste'],2015-10-21T01:31:32Z,,,,45.08968,10.87539,"['Italy', 'Forcello Bagnolo San Vito', 'Sector [Blank]', 'Context 288']",Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,http://opencontext.org/subjects/44c7ba6d-f524-4d80-b01a-245be14a884b
