,@id,igsn,@context,registrant.name,registrant.identifiers.id,registrant.identifiers.kind,description.log,description.material,description.collector,description.publisher.@id,description.publisher.url,description.publisher.name,description.publisher.@type,description.publisher.contactPoint.url,description.publisher.contactPoint.name,description.publisher.contactPoint.@type,description.publisher.contactPoint.email,description.publisher.contactPoint.contactType,description.igsnPrefix,description.sampleName,description.sampleType,description.geoLocation.geo,description.geoLocation.@type,description.contributors,description.collectorDetail,description.supplementMetadata.purpose,description.supplementMetadata.depthMax,description.supplementMetadata.depthMin,description.supplementMetadata.document,description.supplementMetadata.locality,description.supplementMetadata.province,description.supplementMetadata.sampleId,description.supplementMetadata.childIGSN,description.supplementMetadata.elevation,description.supplementMetadata.otherName,description.supplementMetadata.depthScale,description.supplementMetadata.elevationUnit,description.supplementMetadata.geologicalAge,description.supplementMetadata.sampleComment,description.supplementMetadata.currentArchive,description.supplementMetadata.geologicalUnit,description.supplementMetadata.navigationType,description.supplementMetadata.publicationUrl,description.supplementMetadata.originalArchive,description.supplementMetadata.externalSampleId,description.supplementMetadata.currentArchiveContact,description.collectionStartDate,description.collectionDatePrecision,description.parentIdentifier,description.supplementMetadata.siblingIGSN,description.supplementMetadata.platformType,description.supplementMetadata.cruiseFieldPrgrm,description.collectionMethod,description.supplementMetadata.size,description.supplementMetadata.sizeUnit,description.collectionMethodDescr,description.description,description.supplementMetadata.fieldName,description.supplementMetadata.primaryLocationType,description.supplementMetadata.primaryLocationName,description.supplementMetadata.country,description.supplementMetadata.localityDescription,description.supplementMetadata.locationDescription,description.supplementMetadata.county,description.supplementMetadata.zone,description.supplementMetadata.easting,description.supplementMetadata.northing,description.supplementMetadata.city,description.supplementMetadata.ageMax,description.supplementMetadata.ageMin,description.supplementMetadata.ageUnit,description.supplementMetadata.elevationEnd,description.supplementMetadata.verticalDatum,description.collectionEndDate,description.supplementMetadata.launchId,description.supplementMetadata.platformName,description.supplementMetadata.launchTypeName,description.supplementMetadata.launchPlatformName,description.supplementMetadata.platformDescr
0,https://data.geosamples.org/sample/igsn/GBP300156,GBP300156,https://raw.githubusercontent.com/IGSN/igsn-json/master/schema.igsn.org/json/registration/v0.1/context.jsonld,IEDA,https://www.geosamples.org,uri,"[{'type': 'registered', 'timestamp': '2016-07-06 06:18:48'}, {'type': 'published', 'timestamp': '2019-09-16 12:00:00'}, {'type': 'lastUpdated', 'timestamp': '2016-07-06 06:18:48'}]",Rock,Great Bear Petroleum,https://www.geosamples.org,https://www.geosamples.org,EarthChem,Organization,https://www.geosamples.org/contact/,Information Desk,ContactPoint,info@geosamples.org,Customer Service,GBP,50223200290000 Alkaid1,Cuttings,"[{'@type': 'GeoCoordinates', 'latitude': '69.9476', 'longitude': '-148.8346'}]",Place,"[{'@type': 'Role', 'roleName': 'Sample Owner', 'contributor': [{'name': 'Allegra Hosford Scheirer', '@type': 'Person', 'givenName': 'Allegra Hosford', 'familyName': 'Scheirer'}]}, {'@type': 'Role', 'roleName': 'Sample Registrant', 'contributor': [{'name': 'Allegra Hosford Scheirer', '@type': 'Person', 'givenName': 'Allegra Hosford', 'familyName': 'Scheirer'}]}, {'@type': 'Role', 'roleName': 'Sample Archive Contact', 'contributor': [{'name': 'steve.lewis@solstenxp.com', '@type': 'Person'}]}]",ed@greatbearpetro.com,Cuttings analysis,5180.0,5150.0,[],50223200290000,AK,4102676,[],59.8,['5150-5180 ft MD Envelope of air-dried cuttings'],MD Feet,meters,Tertiary,Envelope of air-dried cuttings,"Biomarker Technologies, Inc.","Staines Tongue, Sagavarnirktok Fm.",GPS,[],Solsten,50223200290000 Alkaid1,allegra@geomodelingsolutions.com,2015-03-14,day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,https://data.geosamples.org/sample/igsn/ODP013LFC,ODP013LFC,https://raw.githubusercontent.com/IGSN/igsn-json/master/schema.igsn.org/json/registration/v0.1/context.jsonld,IEDA,https://www.geosamples.org,uri,"[{'type': 'registered', 'timestamp': '2006-08-10 12:00:00'}, {'type': 'published', 'timestamp': '2010-12-10 07:10:31'}, {'type': 'lastUpdated', 'timestamp': '2006-08-10 12:00:00'}]",,Curator,https://www.geosamples.org,https://www.geosamples.org,EarthChem,Organization,https://www.geosamples.org/contact/,Information Desk,ContactPoint,info@geosamples.org,Customer Service,ODP,Section 32-313*-22R-2,Core Section,"[{'@type': 'GeoCoordinates', 'latitude': '20.1753', 'longitude': '-170.9525'}]",Place,"[{'@type': 'Role', 'roleName': 'Sample Owner', 'contributor': [{'name': 'Curator Integrated Ocean Drilling Program (TAMU)', '@type': 'Person', 'givenName': 'Curator', 'familyName': 'Integrated Ocean Drilling Program (TAMU)'}]}, {'@type': 'Role', 'roleName': 'Sample Registrant', 'contributor': [{'name': 'Curator Integrated Ocean Drilling Program (TAMU)', '@type': 'Person', 'givenName': 'Curator', 'familyName': 'Integrated Ocean Drilling Program (TAMU)'}]}, {'@type': 'Role', 'roleName': 'Sample Archive Contact', 'contributor': [{'name': 'Curator', '@type': 'Person'}]}]","Texas A&M University, Integrated Ocean Drilling Program, College Station, TX, 77845, USA",,,,[],,,262197,"['ODP013LFF', 'ODP013LFD', 'ODP013LFE']",-3484.0,[],,meters,,,Integrated Ocean Drilling Program (IODP),,,[],"Texas A&M University, Integrated Ocean Drilling Program, College Station, TX, 77845, USA",Section 32-313*-22R-2,Curator,,,ODP006764,"['ODP013LF8', 'ODP013LFG']",Ship,DSDP Leg 32,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,https://data.geosamples.org/sample/igsn/DSR000GGG,DSR000GGG,https://raw.githubusercontent.com/IGSN/igsn-json/master/schema.igsn.org/json/registration/v0.1/context.jsonld,IEDA,https://www.geosamples.org,uri,"[{'type': 'registered', 'timestamp': '2016-12-08 02:16:08'}, {'type': 'published', 'timestamp': '2020-01-01 12:00:00'}, {'type': 'lastUpdated', 'timestamp': '2016-12-08 02:16:08'}]",Sediment,,https://www.geosamples.org,https://www.geosamples.org,EarthChem,Organization,https://www.geosamples.org/contact/,Information Desk,ContactPoint,info@geosamples.org,Customer Service,DSR,VM29-205TW_0cm,Core Piece,,,"[{'@type': 'Role', 'roleName': 'Sample Owner', 'contributor': [{'name': 'corelab repository', '@type': 'Person', 'givenName': 'corelab', 'familyName': 'repository'}]}, {'@type': 'Role', 'roleName': 'Sample Registrant', 'contributor': [{'name': 'corelab repository', '@type': 'Person', 'givenName': 'corelab', 'familyName': 'repository'}]}, {'@type': 'Role', 'roleName': 'Sample Archive Contact', 'contributor': [{'name': 'Nichole Anest', '@type': 'Person'}]}]",,haptophyte biomarker indices,2.0,0.0,[],,,4141304,[],,[],cm,,,depth in core is approximate,Brown University,,,[],LDCR,VM29-205TW_0cm,Yinsui Zheng,2016-07-07,,DSR0003J7,[],,,Coring>TriggerWeightCorer,4,cc,Discrete sample from a  Core,,,,,,,,,,,,,,,,,,,,,,,
3,https://data.geosamples.org/sample/igsn/IEUHM00BL,IEUHM00BL,https://raw.githubusercontent.com/IGSN/igsn-json/master/schema.igsn.org/json/registration/v0.1/context.jsonld,IEDA,https://www.geosamples.org,uri,"[{'type': 'registered', 'timestamp': '2015-11-02 01:53:14'}, {'type': 'published', 'timestamp': '2015-11-02 12:00:00'}, {'type': 'lastUpdated', 'timestamp': '2015-11-02 01:53:14'}]",Igneous>Volcanic>Exotic>Rock,,https://www.geosamples.org,https://www.geosamples.org,EarthChem,Organization,https://www.geosamples.org/contact/,Information Desk,ContactPoint,info@geosamples.org,Customer Service,IEUHM,GLORIA07MV RD54,Dredge,"[{'@type': 'GeoCoordinates', 'latitude': '-26.7550', 'longitude': '-111.1740'}]",Place,"[{'@type': 'Role', 'roleName': 'Sample Owner', 'contributor': [{'name': 'Kevin Johnson', '@type': 'Person', 'givenName': 'Kevin', 'familyName': 'Johnson'}]}, {'@type': 'Role', 'roleName': 'Sample Registrant', 'contributor': [{'name': 'Kevin Johnson', '@type': 'Person', 'givenName': 'Kevin', 'familyName': 'Johnson'}]}, {'@type': 'Role', 'roleName': 'Sample Archive Contact', 'contributor': [{'@type': 'Person'}]}]",,Geological studies,,,[],,,4082835,[],-2845.0,[],,meters,,duplicate samples also stored at Scripps.,SOEST,,,[],,GLORIA07MV RD54,,1993-05-26,day,,,,GLORIA07MV,Dredging>ChainBagDredge,,,,Two pieces of pumice. Some foram and glass shards.,pumice,SE Pacific Ocean,,,,,,,,,,,,,,,,,,,,
4,https://data.geosamples.org/sample/igsn/IEUHM001F,IEUHM001F,https://raw.githubusercontent.com/IGSN/igsn-json/master/schema.igsn.org/json/registration/v0.1/context.jsonld,IEDA,https://www.geosamples.org,uri,"[{'type': 'registered', 'timestamp': '2015-11-02 01:52:01'}, {'type': 'published', 'timestamp': '2015-11-02 12:00:00'}, {'type': 'lastUpdated', 'timestamp': '2015-11-02 01:52:01'}]",Igneous>Volcanic>Mafic>Rock,,https://www.geosamples.org,https://www.geosamples.org,EarthChem,Organization,https://www.geosamples.org/contact/,Information Desk,ContactPoint,info@geosamples.org,Customer Service,IEUHM,KK810626-3 STA68 RD46,Dredge,"[{'@type': 'GeoCoordinates', 'latitude': '19.0170', 'longitude': '147.0430'}]",Place,"[{'@type': 'Role', 'roleName': 'Sample Owner', 'contributor': [{'name': 'Kevin Johnson', '@type': 'Person', 'givenName': 'Kevin', 'familyName': 'Johnson'}]}, {'@type': 'Role', 'roleName': 'Sample Registrant', 'contributor': [{'name': 'Kevin Johnson', '@type': 'Person', 'givenName': 'Kevin', 'familyName': 'Johnson'}]}, {'@type': 'Role', 'roleName': 'Sample Archive Contact', 'contributor': [{'@type': 'Person'}]}]",,Geological studies,,,[],,,4082469,[],-2170.0,[],,meters,,,SOEST,,,[],,KK810626-3 STA68 RD46,,1981-09-06,day,,,,KK810626-3,Dredging>ChainBagDredge,,,,"1 bag (~50 lbs) fine-grained igneous, highly altered; 8 boulders of same.",basalt,W Pacific Ocean,N. Mariana Forearc,,,,,,,,,,,,,,,,,,,
5,https://data.geosamples.org/sample/igsn/ODP014L1B,ODP014L1B,https://raw.githubusercontent.com/IGSN/igsn-json/master/schema.igsn.org/json/registration/v0.1/context.jsonld,IEDA,https://www.geosamples.org,uri,"[{'type': 'registered', 'timestamp': '2006-08-10 12:00:00'}, {'type': 'published', 'timestamp': '2010-12-10 07:10:31'}, {'type': 'lastUpdated', 'timestamp': '2006-08-10 12:00:00'}]",,Curator,https://www.geosamples.org,https://www.geosamples.org,EarthChem,Organization,https://www.geosamples.org/contact/,Information Desk,ContactPoint,info@geosamples.org,Customer Service,ODP,SubSection 44-392A-17R-2-1C (0-0 cm.),Core Sub-Piece,"[{'@type': 'GeoCoordinates', 'latitude': '29.9105', 'longitude': '-76.1780'}]",Place,"[{'@type': 'Role', 'roleName': 'Sample Owner', 'contributor': [{'name': 'Curator Integrated Ocean Drilling Program (TAMU)', '@type': 'Person', 'givenName': 'Curator', 'familyName': 'Integrated Ocean Drilling Program (TAMU)'}]}, {'@type': 'Role', 'roleName': 'Sample Registrant', 'contributor': [{'name': 'Curator Integrated Ocean Drilling Program (TAMU)', '@type': 'Person', 'givenName': 'Curator', 'familyName': 'Integrated Ocean Drilling Program (TAMU)'}]}, {'@type': 'Role', 'roleName': 'Sample Archive Contact', 'contributor': [{'name': 'Curator', '@type': 'Person'}]}]","Texas A&M University, Integrated Ocean Drilling Program, College Station, TX, 77845, USA",,,,[],,,308348,[],-2601.0,[],,meters,,,Integrated Ocean Drilling Program (IODP),,,[],"Texas A&M University, Integrated Ocean Drilling Program, College Station, TX, 77845, USA",SubSection 44-392A-17R-2-1C (0-0 cm.),Curator,,,ODP014L18,"['ODP014L19', 'ODP014L1A']",Ship,DSDP Leg 44,,,,,Core,,,,,,,,,,,,,,,,,,,,,,
6,https://data.geosamples.org/sample/igsn/ODP0101KF,ODP0101KF,https://raw.githubusercontent.com/IGSN/igsn-json/master/schema.igsn.org/json/registration/v0.1/context.jsonld,IEDA,https://www.geosamples.org,uri,"[{'type': 'registered', 'timestamp': '2006-03-22 12:00:00'}, {'type': 'published', 'timestamp': '2010-12-10 07:10:31'}, {'type': 'lastUpdated', 'timestamp': '2006-03-22 12:00:00'}]",,Curator,https://www.geosamples.org,https://www.geosamples.org,EarthChem,Organization,https://www.geosamples.org/contact/,Information Desk,ContactPoint,info@geosamples.org,Customer Service,ODP,Core 60-453*-64R,Core,"[{'@type': 'GeoCoordinates', 'latitude': '17.9070', 'longitude': '143.6825'}]",Place,"[{'@type': 'Role', 'roleName': 'Sample Owner', 'contributor': [{'name': 'Curator Integrated Ocean Drilling Program (TAMU)', '@type': 'Person', 'givenName': 'Curator', 'familyName': 'Integrated Ocean Drilling Program (TAMU)'}]}, {'@type': 'Role', 'roleName': 'Sample Registrant', 'contributor': [{'name': 'Curator Integrated Ocean Drilling Program (TAMU)', '@type': 'Person', 'givenName': 'Curator', 'familyName': 'Integrated Ocean Drilling Program (TAMU)'}]}, {'@type': 'Role', 'roleName': 'Sample Archive Contact', 'contributor': [{'name': 'Curator', '@type': 'Person'}]}]","Texas A&M University, Integrated Ocean Drilling Program, College Station, TX, 77845, USA",,,,[],,,96492,"['ODP015MEL', 'ODP015MEP']",-4693.0,[],,meters,,,Integrated Ocean Drilling Program (IODP),,,[],"Texas A&M University, Integrated Ocean Drilling Program, College Station, TX, 77845, USA",Core 60-453*-64R,Curator,,,ODP0101IN,"['ODP0101IV', 'ODP0101IX', 'ODP0101JA', 'ODP0101JC', 'ODP0101JO', 'ODP0101JT', 'ODP0101JZ', 'ODP0101KD', 'ODP0101KB', 'ODP0101JP', 'ODP0101IY', 'ODP0101IW', 'ODP0101IP', 'ODP0101IQ', 'ODP0101IS', 'ODP0101IZ', 'ODP0101IO', 'ODP0101J2', 'ODP0101J3', 'ODP0101J4', 'ODP0101IT', 'ODP0101IU', 'ODP0101J7', 'ODP0101J8', 'ODP0101J9', 'ODP0101J0', 'ODP0101JS', 'ODP0101JG', 'ODP0101JH', 'ODP0101JI', 'ODP0101JJ', 'ODP0101JE', 'ODP0101JF', 'ODP0101JN', 'ODP0101J5', 'ODP0101J6', 'ODP0101JD', 'ODP0101K0', 'ODP0101K1', 'ODP0101JR', 'ODP0101JB', 'ODP0101IR', 'ODP0101JX', 'ODP0101JY', 'ODP0101KE', 'ODP0101JM', 'ODP0101JQ', 'ODP0101JU', 'ODP0101KC', 'ODP0101J1', 'ODP0101JV', 'ODP0101JK', 'ODP0101K8', 'ODP0101K9', 'ODP0101KA', 'ODP0101K4', 'ODP0101K6', 'ODP0101K7', 'ODP0101JW', 'ODP0101K2', 'ODP0101K3', 'ODP0101JL', 'ODP0101K5']",Ship,DSDP Leg 60,Coring,,,R: The RCB is designed to recover core samples from medium to hard formations.  The RCB relies on rotation of the drill string to advance the hole and cut the core.  The core bit trims the sample.,,,,,,,,,,,,,,,,,,,,,,,
7,https://data.geosamples.org/sample/igsn/NHB006LVR,NHB006LVR,https://raw.githubusercontent.com/IGSN/igsn-json/master/schema.igsn.org/json/registration/v0.1/context.jsonld,IEDA,https://www.geosamples.org,uri,"[{'type': 'registered', 'timestamp': '2015-08-06 04:25:19'}, {'type': 'published', 'timestamp': '2015-08-06 04:25:19'}, {'type': 'lastUpdated', 'timestamp': '2019-11-04 10:18:09'}]",Sedimentary>Rock,,https://www.geosamples.org,https://www.geosamples.org,EarthChem,Organization,https://www.geosamples.org/contact/,Information Desk,ContactPoint,info@geosamples.org,Customer Service,NHB,NMNH 116536-72 (PET),Individual Sample,"[{'@type': 'GeoCoordinates', 'latitude': '44.4200', 'longitude': '-110.8100'}]",Place,"[{'@type': 'Role', 'roleName': 'Sample Owner', 'contributor': [{'name': 'Adam Mansur', '@type': 'Person', 'givenName': 'Adam', 'familyName': 'Mansur'}]}, {'@type': 'Role', 'roleName': 'Sample Registrant', 'contributor': [{'name': 'Adam Mansur', '@type': 'Person', 'givenName': 'Adam', 'familyName': 'Mansur'}]}, {'@type': 'Role', 'roleName': 'Sample Archive Contact', 'contributor': [{'@type': 'Person'}]}]",,,,,[],,Wyoming,4034177,[],,['2792'],,,,,"National Rock & Ore Collection, Smithsonian Institution",,,"[{'url': 'http://grscicoll.org/cool/ipjg-ikz6', 'urlType': 'regular URL', 'description': 'Department of Mineral Sciences (Global Registry of Scientific Collections)'}, {'url': 'http://n2t.net/ark:/65665/3aca3a8ca-b1bc-4b22-966b-893d02409f81', 'urlType': 'regular URL', 'description': 'Smithsonian collections record for NMNH 116536-72 (PET)'}]",,NMNH 116536-72 (PET),halel@si.edu,,,,,,,,,,,,Siliceous sinter,,,United States,Yellowstone National Park,"Matched to the GeoNames record for Lone Star Geyser, Teton Co., Wyoming, United States (http://geonames.org/5830920) based on feature name, state/province, and country using the situate.py script. Another place name mentioned in the EMu record (Yellowstone National Park) appears to describe a larger, less specific feature and was ignored when determining coordinates given here. Point coordinates were rounded to 2 decimal places from the values given by GeoNames. An arbitrary error radius of 1 km was assigned to all featureCode=GYSR records matched using the script.",,,,,,,,,,,,,,,,
8,https://data.geosamples.org/sample/igsn/ODP017CUB,ODP017CUB,https://raw.githubusercontent.com/IGSN/igsn-json/master/schema.igsn.org/json/registration/v0.1/context.jsonld,IEDA,https://www.geosamples.org,uri,"[{'type': 'registered', 'timestamp': '2006-08-10 12:00:00'}, {'type': 'published', 'timestamp': '2010-12-10 07:16:46'}, {'type': 'lastUpdated', 'timestamp': '2006-08-10 12:00:00'}]",,Curator,https://www.geosamples.org,https://www.geosamples.org,EarthChem,Organization,https://www.geosamples.org/contact/,Information Desk,ContactPoint,info@geosamples.org,Customer Service,ODP,Section 78-543*-14R-3,Core Section,"[{'@type': 'GeoCoordinates', 'latitude': '15.7123', 'longitude': '-58.6537'}]",Place,"[{'@type': 'Role', 'roleName': 'Sample Owner', 'contributor': [{'name': 'Curator Integrated Ocean Drilling Program (TAMU)', '@type': 'Person', 'givenName': 'Curator', 'familyName': 'Integrated Ocean Drilling Program (TAMU)'}]}, {'@type': 'Role', 'roleName': 'Sample Registrant', 'contributor': [{'name': 'Curator Integrated Ocean Drilling Program (TAMU)', '@type': 'Person', 'givenName': 'Curator', 'familyName': 'Integrated Ocean Drilling Program (TAMU)'}]}, {'@type': 'Role', 'roleName': 'Sample Archive Contact', 'contributor': [{'name': 'Curator', '@type': 'Person'}]}]","Texas A&M University, Integrated Ocean Drilling Program, College Station, TX, 77845, USA",,,,[],,,437696,"['ODP017CUC', 'ODP017CUD', 'ODP017CUE']",-5633.0,[],,meters,,,Integrated Ocean Drilling Program (IODP),,,[],"Texas A&M University, Integrated Ocean Drilling Program, College Station, TX, 77845, USA",Section 78-543*-14R-3,Curator,,,ODP0105B7,"['ODP017CUN', 'ODP017CUR', 'ODP017CU3', 'ODP017CU7', 'ODP017CUF', 'ODP017CUJ']",Ship,DSDP Leg 78,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,https://data.geosamples.org/sample/igsn/NHB003E9V,NHB003E9V,https://raw.githubusercontent.com/IGSN/igsn-json/master/schema.igsn.org/json/registration/v0.1/context.jsonld,IEDA,https://www.geosamples.org,uri,"[{'type': 'registered', 'timestamp': '2015-05-30 03:14:12'}, {'type': 'published', 'timestamp': '2015-05-30 03:14:12'}, {'type': 'lastUpdated', 'timestamp': '2019-11-01 06:10:42'}]",Epidote>Mineral,,https://www.geosamples.org,https://www.geosamples.org,EarthChem,Organization,https://www.geosamples.org/contact/,Information Desk,ContactPoint,info@geosamples.org,Customer Service,NHB,NMNH R7782-22 (MIN),Individual Sample,"[{'@type': 'GeoCoordinates', 'latitude': '60.8726', 'longitude': '-146.5560'}]",Place,"[{'@type': 'Role', 'roleName': 'Sample Owner', 'contributor': [{'name': 'Adam Mansur', '@type': 'Person', 'givenName': 'Adam', 'familyName': 'Mansur'}]}, {'@type': 'Role', 'roleName': 'Sample Registrant', 'contributor': [{'name': 'Adam Mansur', '@type': 'Person', 'givenName': 'Adam', 'familyName': 'Mansur'}]}, {'@type': 'Role', 'roleName': 'Sample Archive Contact', 'contributor': [{'@type': 'Person'}]}]",,,,,[],,Alaska,3879846,[],,[],,,,,"National Mineral Collection, Smithsonian Institution",,,"[{'url': 'http://grscicoll.org/cool/ipjg-ikz6', 'urlType': 'regular URL', 'description': 'Department of Mineral Sciences (Global Registry of Scientific Collections)'}, {'url': 'http://n2t.net/ark:/65665/3068ecd5d-aa83-4b42-9b33-6240efb3ec05', 'urlType': 'regular URL', 'description': 'Smithsonian collections record for NMNH R7782-22 (MIN)'}]",,NMNH R7782-22 (MIN),pohwatp@si.edu,,,NHB007HMK,"['NHB003EAU', 'NHB003E9F', 'NHB003E9J', 'NHB003E9M', 'NHB003E9N', 'NHB003EAV', 'NHB003EAH', 'NHB003EAQ', 'NHB003E9R', 'NHB003E9T', 'NHB003EA3', 'NHB003EAP', 'NHB003E9Z', 'NHB003EA1', 'NHB003EA4', 'NHB003EA5', 'NHB003EA7', 'NHB003EA9', 'NHB003EAB', 'NHB003EAE', 'NHB003E9B', 'NHB003E9D', 'NHB003EAF', 'NHB003EAG', 'NHB003EAL', 'NHB003EAN', 'NHB003E9G', 'NHB003E9H', 'NHB003E9I', 'NHB003E9Q', 'NHB003E9S', 'NHB003EAW', 'NHB003EAY', 'NHB003EAZ', 'NHB003EB0', 'NHB003EB1', 'NHB003EAI', 'NHB003E9X', 'NHB003EAJ', 'NHB003EAK', 'NHB003EAM', 'NHB003EAO', 'NHB003EAR', 'NHB003EAS', 'NHB003EAT', 'NHB003EAX', 'NHB003E9C', 'NHB003E9E', 'NHB003E9K', 'NHB003E9L', 'NHB003E9O', 'NHB003E9P', 'NHB003E9U', 'NHB003E9W', 'NHB003E9Y', 'NHB003EA0', 'NHB003EA2', 'NHB003EA6', 'NHB003EA8', 'NHB003EAA', 'NHB003EAC', 'NHB003EAD']",,,,,,,,Epidote,,,United States,Copper Mtn,This record was georeferenced by an intern in the NMNH Information Technology Office. No estimate of precision was given. All Mineral Sciences records georeferenced as part of this program were assigned a minimum uncertainty of 10 km.,,,,,,,,,,,,,,,,
