precision,recall,k,learning rate,epoch
0.5714285714285714,0.5517241379310345,1,1,25
0.5357142857142857,0.5172413793103449,1,0.1,5
0.5357142857142857,0.5172413793103449,1,0.1,10
0.5357142857142857,0.5172413793103449,1,0.1,15
0.5357142857142857,0.5172413793103449,1,0.1,20
0.5357142857142857,0.5172413793103449,1,0.1,25
0.5357142857142857,0.5172413793103449,1,0.5,5
0.5357142857142857,0.5172413793103449,1,0.5,10
0.5357142857142857,0.5172413793103449,1,0.5,15
0.5357142857142857,0.5172413793103449,1,0.5,20
0.5357142857142857,0.5172413793103449,1,0.5,25
0.5357142857142857,0.5172413793103449,1,1,5
0.5357142857142857,0.5172413793103449,1,1,10
0.5357142857142857,0.5172413793103449,1,1,20
0.5,0.4827586206896552,1,1,15
0.39285714285714285,0.7586206896551724,2,0.1,10
0.39285714285714285,0.7586206896551724,2,0.1,15
0.39285714285714285,0.7586206896551724,2,0.1,20
0.39285714285714285,0.7586206896551724,2,0.5,15
0.39285714285714285,0.7586206896551724,2,0.5,25
0.39285714285714285,0.7586206896551724,2,1,15
0.375,0.7241379310344828,2,0.1,5
0.375,0.7241379310344828,2,0.1,25
0.375,0.7241379310344828,2,0.5,5
0.375,0.7241379310344828,2,0.5,10
0.375,0.7241379310344828,2,0.5,20
0.375,0.7241379310344828,2,1,5
0.375,0.7241379310344828,2,1,10
0.375,0.7241379310344828,2,1,20
0.375,0.7241379310344828,2,1,25
0.27380952380952384,0.7931034482758621,3,0.1,10
0.27380952380952384,0.7931034482758621,3,0.1,15
0.27380952380952384,0.7931034482758621,3,0.1,20
0.27380952380952384,0.7931034482758621,3,0.1,25
0.27380952380952384,0.7931034482758621,3,0.5,10
0.27380952380952384,0.7931034482758621,3,0.5,15
0.27380952380952384,0.7931034482758621,3,0.5,25
0.27380952380952384,0.7931034482758621,3,1,5
0.27380952380952384,0.7931034482758621,3,1,10
0.27380952380952384,0.7931034482758621,3,1,25
0.2619047619047619,0.7586206896551724,3,0.1,5
0.2619047619047619,0.7586206896551724,3,0.5,5
0.2619047619047619,0.7586206896551724,3,0.5,20
0.2619047619047619,0.7586206896551724,3,1,15
0.2619047619047619,0.7586206896551724,3,1,20
0.23214285714285715,0.896551724137931,4,0.1,15
0.23214285714285715,0.896551724137931,4,0.1,25
0.23214285714285715,0.896551724137931,4,0.5,5
0.23214285714285715,0.896551724137931,4,0.5,10
0.23214285714285715,0.896551724137931,4,0.5,20
0.23214285714285715,0.896551724137931,4,0.5,25
0.23214285714285715,0.896551724137931,4,1,5
0.23214285714285715,0.896551724137931,4,1,10
0.23214285714285715,0.896551724137931,4,1,15
0.23214285714285715,0.896551724137931,4,1,20
0.23214285714285715,0.896551724137931,4,1,25
0.22321428571428573,0.8620689655172413,4,0.1,5
0.22321428571428573,0.8620689655172413,4,0.1,10
0.22321428571428573,0.8620689655172413,4,0.1,20
0.22321428571428573,0.8620689655172413,4,0.5,15
0.2,0.9655172413793104,5,0.1,15
0.2,0.9655172413793104,5,0.1,25
0.2,0.9655172413793104,5,0.5,5
0.2,0.9655172413793104,5,0.5,10
0.2,0.9655172413793104,5,0.5,20
0.2,0.9655172413793104,5,0.5,25
0.2,0.9655172413793104,5,1,5
0.2,0.9655172413793104,5,1,10
0.2,0.9655172413793104,5,1,15
0.2,0.9655172413793104,5,1,20
0.2,0.9655172413793104,5,1,25
0.19285714285714287,0.9310344827586207,5,0.1,5
0.19285714285714287,0.9310344827586207,5,0.1,10
0.19285714285714287,0.9310344827586207,5,0.1,20
0.19285714285714287,0.9310344827586207,5,0.5,15
