precision,recall,k,learning rate,epoch
1.0,1.0,1,0.1,5
1.0,1.0,1,0.1,10
1.0,1.0,1,0.1,15
1.0,1.0,1,0.1,20
1.0,1.0,1,0.1,25
1.0,1.0,1,0.5,5
1.0,1.0,1,0.5,10
1.0,1.0,1,0.5,15
1.0,1.0,1,0.5,20
1.0,1.0,1,0.5,25
1.0,1.0,1,1,5
1.0,1.0,1,1,10
1.0,1.0,1,1,15
1.0,1.0,1,1,20
1.0,1.0,1,1,25
0.5,1.0,2,0.1,5
0.5,1.0,3,0.1,5
0.5,1.0,4,0.1,5
0.5,1.0,5,0.1,5
0.5,1.0,2,0.1,10
0.5,1.0,3,0.1,10
0.5,1.0,4,0.1,10
0.5,1.0,5,0.1,10
0.5,1.0,2,0.1,15
0.5,1.0,3,0.1,15
0.5,1.0,4,0.1,15
0.5,1.0,5,0.1,15
0.5,1.0,2,0.1,20
0.5,1.0,3,0.1,20
0.5,1.0,4,0.1,20
0.5,1.0,5,0.1,20
0.5,1.0,2,0.1,25
0.5,1.0,3,0.1,25
0.5,1.0,4,0.1,25
0.5,1.0,5,0.1,25
0.5,1.0,2,0.5,5
0.5,1.0,3,0.5,5
0.5,1.0,4,0.5,5
0.5,1.0,5,0.5,5
0.5,1.0,2,0.5,10
0.5,1.0,3,0.5,10
0.5,1.0,4,0.5,10
0.5,1.0,5,0.5,10
0.5,1.0,2,0.5,15
0.5,1.0,3,0.5,15
0.5,1.0,4,0.5,15
0.5,1.0,5,0.5,15
0.5,1.0,2,0.5,20
0.5,1.0,3,0.5,20
0.5,1.0,4,0.5,20
0.5,1.0,5,0.5,20
0.5,1.0,2,0.5,25
0.5,1.0,3,0.5,25
0.5,1.0,4,0.5,25
0.5,1.0,5,0.5,25
0.5,1.0,2,1,5
0.5,1.0,3,1,5
0.5,1.0,4,1,5
0.5,1.0,5,1,5
0.5,1.0,2,1,10
0.5,1.0,3,1,10
0.5,1.0,4,1,10
0.5,1.0,5,1,10
0.5,1.0,2,1,15
0.5,1.0,3,1,15
0.5,1.0,4,1,15
0.5,1.0,5,1,15
0.5,1.0,2,1,20
0.5,1.0,3,1,20
0.5,1.0,4,1,20
0.5,1.0,5,1,20
0.5,1.0,2,1,25
0.5,1.0,3,1,25
0.5,1.0,4,1,25
0.5,1.0,5,1,25
