collectionCode,habitat,higherGeography,locality,CoreTerm
Invertebrate Zoology,,North Atlantic Ocean,MID-ATLANTIC RIDGE - Lucky Strike,Marine Biome
Invertebrate Zoology,,"North Pacific Ocean, United States, California, San Luis Obispo County","MARINe Site, Montana del Oro State Park",Marine Biome
Fishes,,"Pacific, French Polynesia, Society Islands, Moorea","Moorea, Club Med.",Marine Biome
Invertebrate Zoology,,"South Pacific Ocean, French Polynesia, Society Islands, Moorea","Society Islands, Moorea, Forereef between MPA Pole and Sheraton",Marine Biome
Invertebrate Zoology,,"United States, Tennessee, Putnam County",Big Spring Weaks Property,"Subaqueous terrestrial biome,
Subaerial terrestrial biome "
Fishes,,"Pacific, French Polynesia, Society Islands, Moorea",South tip of Moorea,Marine Biome
Fishes,,"Atlantic, Caribbean Sea, Caracas Bay, Curacao, Lesser Antilles, Leeward Antilles, Curacao","Curacao, Caracas Bay, east of dive shop.",Marine Biome
Amphibians %26 Reptiles,,"Africa, Djibouti, Tadjourah","Day (village), ca. 2 km SE of, vicinity of abandoned lodge, Day Forest National Park",Subaerial surface environment 
Invertebrate Zoology,,"North Pacific Ocean, United States, California",Monterey Canyon,Subaerial surface environment 
Invertebrate Zoology,on shell of Calcinus nitidus,"South Pacific Ocean, French Polynesia, Society Islands, Moorea","Society Islands, Moorea, West of Cook's Bay pass, toward Hilton",Subaerial terrestrial biome 
Birds,cultivated area,"Africa, Tanzania, Iringa, Ludewa",,Subaerial surface environment 
Botany,"Sandy wash andmeadow with Polypogon, Juncus, Cyperus, and Chloris","North America, Mexico, Durango, Sierra Madre Occidental",1 km W of Llano Grande on old (libre) hwy 40 towards El Salto,Subaerial surface environment 
Invertebrate Zoology,,"North Pacific Ocean, Kaneohe Bay, United States, Hawaii, Honolulu County","Coconut Island, Sandy Beach","Subaqueous terrestrial biome,
Subaerial terrestrial biome "
Invertebrate Zoology,,North Atlantic Ocean,MID-ATLANTIC RIDGE - Logachev,Marine Biome
Invertebrate Zoology,,"United States, Missouri",Meramec River at Huzzah Plus,Subaqueous terrestrial biome
Birds,,"South America, Uruguay, Colonia",,Subaerial surface environment 
Invertebrate Zoology,,"North Pacific Ocean, Gulf of California, Mexico",T548,Marine Biome
Entomology,,"New Zealand, Southland, [Not Stated], South Island","Southland, Cascade Stream, Cascade Road, 13 air km NW Riverton",Subaerial surface environment
Invertebrate Zoology,,North Pacific Ocean,East Pacific Rise at 9°North," Marine Biome
"
Botany,,"Asia-Temperate, China, Yunnan, Deqin Xian",Baima Shan,Subaerial surface environment
Mammals,Ecological remarks by collector(s): no,"North America, United States, Alaska","Brooks Range, Close To Anaktuvuk Pass",Subaerial surface environment
Invertebrate Zoology,,"North Atlantic Ocean, United States, Florida, St. Lucie County",Fort Pierce Inlet,Marine Biome
Botany,"Slope forest, with two large gaps rich in epiphytes","South America - Neotropics, Guyana, Cuyuni-Mazaruni","Tulameng Mtn., along line trail toward summit (summit at N 5°33'10.6, W 60°57'28.8), following eastern ridge to N 5°33'25.6, W 60°57'43.8",Subaerial surface environment
Invertebrate Zoology,,"South Pacific Ocean, French Polynesia, Society Islands, Moorea","Society Islands, Moorea, In front of Hilton",Marine Biome
Invertebrate Zoology,,"South Pacific Ocean, French Polynesia, Society Islands, Moorea","Society Islands, Moorea, North backreef",Marine Biome
Birds,ridgeline above river in primary forest,"Asia, Malaysia, Borneo, Sarawak",,Subaerial terrestrial biome 
Fishes,,"Atlantic, Caribbean Sea, Belize, Carrie Bow Cay","Belize, Carrie Bow Cay",Marine Biome
Mammals,Ecological remarks by collector(s): yes,"North America, Panama, Bocas Del Toro","Isla Popa, S Shore, 1 Km E Sumwood Channel",Subaerial surface environment
Invertebrate Zoology,,"United States, Kentucky, Rockcastle County",,Subaerial surface environment
Invertebrate Zoology,,"United States, Arkansas",Ashdown,Subaerial surface environment
Fishes,,"Pacific, French Polynesia, Society Islands, Moorea","Moorea, Mid Bay, West Opunoho",Marine Biome
Birds,,"North America, Panama, Bocas Del Toro",,Subaerial surface environment
Botany,,"South America - Neotropics, Brazil, São Paulo","Bertioga: SP-055, Rodovia Manoel Hippolito. Entre Bertioga e Cubatão.",Subaerial surface environment
Invertebrate Zoology,,"North Pacific Ocean, United States, California",T1048,Marine Biome
Birds,,"Asia, Iraq, Muhafazat Salah ad Din",,Subaerial surface environment 
Botany,Rocky slope with scattered shrubs. Moist soil on slope,"Asia-Temperate, China, Xizang (Tibet), Nielamu (Nyalam) Xian",Nielamu Zhen. Route 318 between Zhangmu and Nielamu (Nyalam) ca. 8 km from Zhangmu.,Active human occupation site
Botany,secondary vegetation along roadside.,"North America - Neotropics, Mexico, Oaxaca","Vicinity of Finca Monte Carlo, humid secondary and remnant forest.",Subaerial surface environment 
Fishes,,"Pacific, Taiwan","Southwest Taiwan, Donggang, fishing port, by-catch from commercial trawlers",Marine Biome
Fishes,,"Atlantic, Caribbean Sea, Belize, Carrie Bow Cay","Belize, Carrie Bow Cay",Marine Biome
Invertebrate Zoology,picked from 0.5-2 mm fraction of ARMS mobile fauna,"South Pacific Ocean, French Polynesia, Society Islands, Moorea","Society Islands, Moorea, ARMS 10 site",Marine Biome
Invertebrate Zoology,,"North Pacific Ocean, Mexico",T555,Marine Biome
Fishes,,"South America, Suriname, Sipaliwini District","Suriname, Sipaliwini, Bakaaboto, Saut sur la rivière Suriname.",Subaqueous terrestrial biome
Invertebrate Zoology,,Indian Ocean,"Central Indian Ridge, Kairei Vent Field",Marine Biome
Entomology,,"Venezuela, Zulia, [Not Stated]","Zulia, Los Angeles del Tucuco",Subaerial surface environment 
Botany,,"South America, Argentina, Neuquen, Norquin","4 km W of Caviahué above ski base (hut).  Open meadow surrounded by Nothofagus antartica, Escollonia, and Ribes; meadow with Carex, Eleocharis, and Agrostis",Subaerial surface environment 
Botany,Grassy slopes.,"North America, Mexico, Zacatecas, Fresnillo","ca. 5.3 km N of Fresnillo, just N of microwave tower.",Subaerial surface environment 
Invertebrate Zoology,,"Madagascar, Fianarantsoa Province",Ranomafana National Park,Subaerial surface environment 
Invertebrate Zoology,,"United States, Alabama, Jackson County",Spring tributary to Hurricane Creek," 
Subaqueous terrestrial biome"
Fishes,,"Pacific, Verde Island Passage, Philippines, Oriental Mindoro, Puerto Galera, Philippine Archipelago, Mindoro","Philippines, Oriental Mindoro, Puerto Galera, off west side of Boquete Island [Paniquian Island].",Marine Biome
Fishes,,"Pacific, French Polynesia, Society Islands, Moorea",West coast of Moorea,Marine Biome
Entomology,,"United States, Florida, Highlands",Richard Archbold Biological Station,"Experiment setting,
Laboratory environment"
Invertebrate Zoology,,"North Atlantic Ocean, United States, Florida",Gulf Stream off Fort Pierce,"Subaerial terrestrial biome,
Subaqueous terrestrial biome"
Mammals,,"North America, United States, Wisconsin, Portage County","Junction City, 3300 County Hwy E",Active human occupation site
Entomology,,"United States, Florida, Highlands","Archbold Biological Station, Lake Placid","Experiment setting,
Laboratory environment"
Fishes,,"Pacific, Philippines, Negros Oriental, Philippine Archipelago, Negros","Philippines, Negros Oriental, Bais City Market. Vendors claim caught in the vicinity of Bais City, Dauin and Ukyot barangays.",Marine Biome
Invertebrate Zoology,,"South Pacific Ocean, French Polynesia, Society Islands, Moorea","Society Islands, Moorea, Temae Bay",Marine Biome
Fishes,,"Pacific, Costa Rica",,Marine Biome
Invertebrate Zoology,,"North Pacific Ocean, United States, California",T488,Marine Biome
Entomology,,"Sri Lanka, Western, Colombo","Colombo District, Hanwella Resthouse",Active human occupation site
Invertebrate Zoology,,"North Pacific Ocean, United States, Oregon, Coos County",Mussel Point (AKA Yoakam Point),Marine Biome
Mammals,,"North America, North Atlantic, Canada, Newfoundland",,Subaerial surface environment 
Mammals,,"North America, United States, Idaho, Custer County","Lost River Range; Bear Creek, 1.6 km NW Pass Creek Rd (FR122)","Subaqueous terrestrial biome,
Subaerial terrestrial environment "
Botany,,"West Indies - Neotropics, Antigua and Barbuda, Lesser Antilles, Antigua",Antigua - WSW side,Marine Biome
Invertebrate Zoology,,South Pacific Ocean,23-50 South,Marine Biome
Invertebrate Zoology,,"South Pacific Ocean, French Polynesia, Society Islands, Moorea","Society Islands, Moorea, Lighthouse, North of Temae",Marine Biome
Botany,,"Asia-Tropical, Malaysia, Sabah, Borneo","Danum Valley, ForestGEO 50 ha plot.",Subaerial surface environment 
Invertebrate Zoology,,"United States, Arkansas",Crandall Database: U.S.A.; AR; ; ; ; ; ; ; ;,Subaerial surface environment 
Invertebrate Zoology,,South Pacific Ocean,Saguaro Field SEPR,Marine Biome
Fishes,,"Atlantic, Caribbean Sea, Trinidad and Tobago, Tobago, Lesser Antilles, Tobago","Tobago, Store Bay",Marine Biome
Entomology,,"Mexico, Chiapas, [Not Stated]",San Cristobal las Casas,Subaerial surface environment 
Amphibians %26 Reptiles,,"Africa, Djibouti, Djibouti","Ambouli, Camp Lemonnier, W end of, old French buildings",Active human occupation site
Invertebrate Zoology,,"North Atlantic Ocean, United States, Florida, St. Lucie County",Fort Pierce Inlet,Marine Biome
Invertebrate Zoology,,"United States, Arkansas",Spring River at Hatchery off 63 (51),"Subaqueous terrestrial biome,
Subaerial terrestrial environment "
Botany,,"Pacific Islands, Kāneʻohe Bay, United States, Hawaii,  Honolulu, Hawaiian Archipelago, Oahu","Kāneʻohe Bay, Kapaka Island, N/NE of island and some in the intertidal zone",Marine Biome
Invertebrate Zoology,,"United States, Virginia, Gloucester County","York River, VIMS Beach","Subaqueous terrestrial biome,
Subaerial terrestrial environment "
Entomology,,"United States, Texas, Comal","Bulverde, Elm Valley",Subaerial surface environment 
Mammals,,North Atlantic Ocean,,Marine Biome
Botany,"Open, wet, savanna-like clearing","North America, United States, Florida, Liberty County","West side of SR 65, 4.2 km N of Sumatra",Subaerial surface environment 
Botany,,"West Indies - Neotropics, Anguilla, Lesser Antilles, Prickly Pear Cays",Prickly Pear Cays,Marine Biome
Invertebrate Zoology,in rubble,"South Pacific Ocean, French Polynesia, Society Islands, Moorea","Society Islands, Moorea, north of Vaiare Pass, off Sofitel",Marine Biome
Entomology,,"Paraguay, Amambay, [Not Stated]","Parque Nacional Cerro Cora, Departmento Amambay",Subaerial surface environment 
Botany,,"Central America - Neotropics, Belize",Bakers Rendezvous,Subaerial surface environment 
