Entomology,,"United States, Maryland, Montgomery",Silver Spring,"Subaqueous terrestrial biome,
Subaerial terrestrial environment "
Invertebrate Zoology,,"North Pacific Ocean, United States, Oregon, Coos County","Charleston, off Coast Guard Station","Experiment setting,
Laboratory environment"
Botany,,"North America, United States, District of Columbia","U.S. Botanic Garden Production Facility, 4700 Shepherd Parkway, SW","Experiment setting,
Laboratory environment,
Active human occupation site"
Mammals,,"North America, North Atlantic Ocean, United States, South Carolina, Charleston",Sullivans Island,"Subaerial terrestrial biome,
Subaerial surface environment"
Entomology,,"United States, Florida, Highlands",Richard Archbold Biological Station,"Experiment setting,
Laboratory environment"
Invertebrate Zoology,,"North Pacific Ocean, United States, Hawaii",Makapu'u point Hawaii Pacific University Oceanographic institute; Shoreline Intertidal,"Experiment setting,
Laboratory environment"
Botany,,"North America, United States, Missouri, Saint Louis","Missouri Botanical Garden, Climatron. Source:  Five L's Nursery (Cultivated). MOBOT LCMS Accession # 1998-1035-1","Experiment setting,
Laboratory environment"
Botany,Slope and lowland forest,"South America - Neotropics, Guyana, Cuyuni-Mazaruni","Tulameng Mtn., ascending from Cara Creek along easternmost projection of Tulameng Mtn. to 5°33'29.5N, 60°54'3.6W (summit 1534m, N 5°33'27.1, W 60°59'34.7)","Subaqueous terrestrial biome,
Subaerial terrestrial biome "
Entomology,,"United States, North Carolina, Macon",Highlands Biological Station,"Experiment setting,
Laboratory environment"
Entomology,,"Peru, Madre de Dios, [Not Stated]",Los Amigos Field Station,"Experiment setting, Laboratory environment"
Botany,"Forest and grassland adjacent to lake with Quercus spp., Ilex vomitoria, Cephalanthus occidentalis, Juniperus virginiana.","North America, United States, Texas, Van Zaudt",Purtis Creek State Park.,"Subaqueous terrestrial biome,
Subaerial terrestrial biome,
Subaerial surface environment"
Invertebrate Zoology,,"United States, South Carolina, Richland County","Wateree Creek, Slate Belt","Subaqueous terrestrial biome,
Subaerial terrestrial biome"
